path_A,path_B,prompt,VQ,MQ,TA,fps_A,num_frames_A,fps_B,num_frames_B
videos/example_1_A.mp4,./videos/example_1_B.mp4,"The camera remains still, a girl with braided hair and wearing a pink dress approached the chair in the room and sat on it, the background is a cozy bedroom, warm indoor lighting.",B,B,A,24.0,126.0,30.0,152.0
videos/example_2_A.mp4,./videos/example_2_B.mp4,"The camera follows a young explorer through an abandoned urban building at night, exploring hidden corridors and forgotten spaces, with a mix of light and shadow creating a mysterious atmosphere.",same,same,A,24.0,144.0,24.0,128.0
videos/example_3_A.mp4,./videos/example_3_B.mp4,"A first-person view of an astronaut running across the surface of the moon, the low-angle shot showcasing the vast lunar landscape and the smooth, light movements.",A,same,same,24.0,128.0,16.0,60.0
videos/example_1_A.mp4,./videos/example_1_B.mp4,"The camera remains still, a girl with braided hair and wearing a pink dress approached the chair in the room and sat on it, the background is a cozy bedroom, warm indoor lighting.",B,B,A,24.0,126.0,30.0,152.0
videos/example_2_A.mp4,./videos/example_2_B.mp4,"The camera follows a young explorer through an abandoned urban building at night, exploring hidden corridors and forgotten spaces, with a mix of light and shadow creating a mysterious atmosphere.",same,same,A,24.0,144.0,24.0,128.0
videos/example_3_A.mp4,./videos/example_3_B.mp4,"A first-person view of an astronaut running across the surface of the moon, the low-angle shot showcasing the vast lunar landscape and the smooth, light movements.",A,same,same,24.0,128.0,16.0,60.0
videos/example_1_A.mp4,./videos/example_1_B.mp4,"The camera remains still, a girl with braided hair and wearing a pink dress approached the chair in the room and sat on it, the background is a cozy bedroom, warm indoor lighting.",B,B,A,24.0,126.0,30.0,152.0
videos/example_2_A.mp4,./videos/example_2_B.mp4,"The camera follows a young explorer through an abandoned urban building at night, exploring hidden corridors and forgotten spaces, with a mix of light and shadow creating a mysterious atmosphere.",same,same,A,24.0,144.0,24.0,128.0
videos/example_3_A.mp4,./videos/example_3_B.mp4,"A first-person view of an astronaut running across the surface of the moon, the low-angle shot showcasing the vast lunar landscape and the smooth, light movements.",A,same,same,24.0,128.0,16.0,60.0
videos/example_1_A.mp4,./videos/example_1_B.mp4,"The camera remains still, a girl with braided hair and wearing a pink dress approached the chair in the room and sat on it, the background is a cozy bedroom, warm indoor lighting.",B,B,A,24.0,126.0,30.0,152.0
videos/example_2_A.mp4,./videos/example_2_B.mp4,"The camera follows a young explorer through an abandoned urban building at night, exploring hidden corridors and forgotten spaces, with a mix of light and shadow creating a mysterious atmosphere.",same,same,A,24.0,144.0,24.0,128.0
videos/example_3_A.mp4,./videos/example_3_B.mp4,"A first-person view of an astronaut running across the surface of the moon, the low-angle shot showcasing the vast lunar landscape and the smooth, light movements.",A,same,same,24.0,128.0,16.0,60.0
